assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
497499,132523146,Hubbsina turneri,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,de Jong, ,2014.0,-101.4795,19.8745
498476,10769,Ictalurus mexicanus,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , , ,PRESERVED_SPECIMEN,1971.0,-99.35417,21.98083
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Laguna Magdalena, , , ,Köck et al., ,2016.0,-104.0793,20.9014
506299,12395,Lucania interioris,1,1,1,"Brown, W.L.",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , ,, ,,H. Espinosa Pérez pers. Comms. 2019, ,0.0,-102.0999985,26.9333324
533430,137924,Onthophagus aureofuscus,1,1,1,IUCN,2017,IUCN,Extant (resident),,,,,,"Ixtlan, Oaxaca, M�xico",,,-96.3722563,17.212629
546386,14880,Notropis aguirrepequenoi,1,1,1,Arcadio Valdes,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,"Arcadio Valdes, pers comms 2018", ,,-98.453525,24.570522
546437,14881,Notropis amecae,6,2,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Presence Uncertain & Reintroduced, , , , , , ,PRESERVED_SPECIMEN,1999.0,-103.84308,20.6852
717292,15387,Ophisternon infernale,1,1,1,Jairo Arroyave,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Arroyave in prep.,Collection,2017.0,-89.29638889,20.67833333
1138369,166600,Glyptothorax nelsoni,1,1,1,"Dahanukar, N.",2020,IUCN (International Union for Conservation of Nature),Extant (resident),,,"India: Subarnarekha River, Chotanagpur Plateau, Bihar",,,Ganguly et al. (1972),HumanObservation,1967.0,85.369363,23.350425
1274187,169366,Tlaloc hildebrandi,1,1,1,Wilfredo,2018,IUCN Freshwater Biodiversity Unit,Extant (resident), , , , , ,"AEGG, WAM, JLLT, MAGGI Junio 24 2016", ,,-92.105793,16.695392
